Country,crime.index
Venezuela,84.36
Papua New Guinea,80.04
South Africa,77.29
Afghanistan,76.97
Honduras,76.65
Trinidad and Tobago,72.43
Brazil,68.31
Guyana,68.15
El Salvador,67.84
Syria,67.42
Jamaica,67.2
Namibia,66.12
Angola,65.74
Peru,65.65
Puerto Rico,64.75
Bangladesh,63.82
Nigeria,63.27
Bahamas,62.74
Libya,62.27
Argentina,62.26
Kenya,61.73
Dominican Republic,61.04
Fiji,59.57
Zimbabwe,58.86
Guatemala,58.59
Malaysia,58.55
Tanzania,57.8
Mongolia,57.47
Uganda,56.14
Bolivia,56.13
Somalia,56.04
Costa Rica,55.59
Colombia,54.94
Kazakhstan,54.81
Maldives,54.61
Botswana,53.47
Mexico,53.31
Uruguay,53.02
Ecuador,52.66
Cambodia,52.18
Algeria,50.41
Paraguay,49.6
Chile,49.6
Ethiopia,49.23
Morocco,48.97
Iran,48.91
Ukraine,48.84
Ghana,48.64
Iraq,48
United States,47.7
Sweden,47.43
France,47.37
Myanmar,46.93
Egypt,46.65
Vietnam,46.52
Mauritius,46.41
Panama,46.2
Indonesia,46.06
Moldova,46.03
Ireland,45.68
Nicaragua,45.54
Belgium,45.29
Palestine,45.21
United Kingdom,44.54
India,44.42
Italy,44.24
Pakistan,44.18
Lebanon,44.07
Bosnia and Herzegovina,43.57
Zambia,43.22
Philippines,42.22
New Zealand,42.19
Tunisia,41.68
Australia,41.67
Montenegro,41.56
Greece,41.3
Jordan,40.83
Canada,40.64
Russia,40.6
Sri Lanka,40.23
Thailand,40.01
Albania,39.86
Turkey,39.5
Malta,39.37
Bulgaria,38.55
Serbia,37.73
Latvia,37.43
Nepal,35.61
Hungary,35.23
Germany,35.14
Norway,34.62
Kuwait,34.57
Lithuania,33.88
Poland,33.13
Luxembourg,32.75
Spain,32.33
Azerbaijan,32.12
Cyprus,31.57
Singapore,31.53
China,31.18
Israel,30.44
Portugal,29.83
Slovakia,29.81
Cuba,29.02
Brunei,28.75
Uzbekistan,28.62
Romania,27.82
South Korea,27.33
Netherlands,27.15
Bahrain,26.68
Saudi Arabia,26.68
Denmark,26.09
Finland,25.53
Czech Republic,25.4
Belarus,25.02
Croatia,24.67
Austria,24.43
Iceland,23.7
Estonia,23.56
Armenia,22.69
Rwanda,22.04
Japan,21.67
Switzerland,21.58
Isle of Man,21.32
Slovenia,20.95
Hong Kong,20.91
Oman,20.62
Georgia,20.5
United Arab Emirates,15.45
Taiwan,15.28
Qatar,11.9